Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C2","0.1uF/10V","C_0805_2012Metric",55.7500,-36.5000,180.0000,bottom
"C3","0.1uF/10V","C_0805_2012Metric",92.5000,-58.5000,0.0000,bottom
"C4","0.1uF/10V","C_0805_2012Metric",68.0000,-46.0000,180.0000,bottom
"C5","0.1uF/10V","C_0805_2012Metric",120.5000,-35.5000,180.0000,bottom
"C6","0.1uF/10V","C_0805_2012Metric",139.5000,-35.5000,180.0000,bottom
"C11","0.1uF/10V","C_0805_2012Metric",81.0000,-151.5000,0.0000,bottom
"C12","1uF/10V","C_0805_2012Metric",81.5000,-136.0000,180.0000,bottom
"C13","0.1uF/10V","C_0805_2012Metric",59.7500,-162.5000,270.0000,bottom
"C14","0.1uF/10V","C_0805_2012Metric",81.5000,-138.5000,180.0000,bottom
"C15","0.1uF/10V","C_0805_2012Metric",137.5000,-130.0000,0.0000,bottom
"C16","0.1uF/10V","C_0805_2012Metric",154.0000,-130.0000,0.0000,bottom
"C21","0.1uF/10V","C_0805_2012Metric",76.5000,-99.5000,90.0000,bottom
"J2","Conn_01x02","JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal",164.5000,-154.0000,90.0000,bottom
"Q1","BC847","SOT-23",171.5000,-146.5000,180.0000,bottom
"Q2","AO3400A","SOT-23",126.0000,-131.0000,270.0000,bottom
"Q3","AO3400A","SOT-23",128.0000,-127.5000,270.0000,bottom
"Q4","AO3400A","SOT-23",130.0000,-124.0000,270.0000,bottom
"Q5","AO3400A","SOT-23",132.0000,-120.5000,270.0000,bottom
"Q6","AO3400A","SOT-23",134.0000,-117.0000,270.0000,bottom
"Q7","AO3400A","SOT-23",136.0000,-113.5000,270.0000,bottom
"Q8","AO3400A","SOT-23",40.0000,-108.0000,90.0000,bottom
"Q9","AO3400A","SOT-23",50.0000,-108.0000,90.0000,bottom
"Q10","AO3400A","SOT-23",42.5000,-105.2500,90.0000,bottom
"Q11","AO3400A","SOT-23",52.5000,-105.2500,90.0000,bottom
"Q12","AO3400A","SOT-23",45.0000,-108.0000,90.0000,bottom
"Q13","AO3400A","SOT-23",55.0000,-108.0000,90.0000,bottom
"Q14","AO3400A","SOT-23",47.5000,-105.2500,90.0000,bottom
"Q15","AO3400A","SOT-23",57.5000,-105.2500,90.0000,bottom
"Q16","AO3400A","SOT-23",47.5000,-94.0000,270.0000,bottom
